id,url,titre,adresse,categorie,categorie_source,type_projet,montant_initial,montant_actuel,nombre_contributions,nombre_commentaires,nombre_videos,nombre_images,nombre_publications
100308,https://fr.ulule.com/cabanedu12/,Cabane du 12 - épicerie & concept-store éthique,NICE,Santé & Bien-être,artisanat_cuisine,euros,7398.0,8210.0,161.0,250,1,26,14
78872,https://fr.ulule.com/cabot-comics-magazine-bd/,Cabot Solo : Magazine BD,Paris,BD & Manga,artisanat_cuisine,euros,540.0,678.0,29.0,44,0,19,12
78174,https://fr.ulule.com/lafripette/,La Fripette à Strasbourg,Strasbourg,Mode & Design,artisanat_cuisine,euros,4000.0,4250.0,126.0,165,1,16,0
105442,https://fr.ulule.com/a-castle-made-of-sand/,A Castle Made of Sand,Boulogne-Billancourt,Musique,artisanat_cuisine,euros,1000.0,1097.0,21.0,22,0,14,2
100110,https://fr.ulule.com/la-route-de-lobsidienne-0/,La route de l'obsidienne,Mela,Patrimoine,artisanat_cuisine,euros,3500.0,3546.0,64.0,49,1,17,0
106958,https://fr.ulule.com/eco-couture-bahor/,Masques & blouses Lyonnaises,LYON,Solidaire & Citoyen,artisanat_cuisine,euros,5000.0,6405.0,44.0,65,1,17,0
104705,https://fr.ulule.com/la-fee-toimeme/,Boutique atelier cosmetique maison La fée toimême,Deaux,Santé & Bien-être,artisanat_cuisine,euros,500.0,525.0,16.0,12,0,20,0
105845,https://fr.ulule.com/broderie-du-lys/,La Broderie du Lys se mobilise pour les soignants,Paris,Solidaire & Citoyen,artisanat_cuisine,prevente,50.0,73.0,43.0,66,0,10,0
100890,https://fr.ulule.com/le-2eme-disque-delvinh-lenian/,Le 2ème disque d'eLVINh,ORCINES,Musique,artisanat_cuisine,euros,2000.0,5077.0,119.0,175,0,7,10
103723,https://fr.ulule.com/la-fabrique-onirique-2/,La Fabrique Onirique - rêveries steampunk,Nantes,Mode & Design,artisanat_cuisine,euros,4500.0,4817.0,95.0,151,1,9,15
100619,https://fr.ulule.com/maison-chrysalide/,Maison Chrysalide,Paris,Mode & Design,artisanat_cuisine,prevente,50.0,129.0,52.0,83,1,18,8
94247,https://fr.ulule.com/naraw/,NARAW • Huiles essentielles éthiques •,Paris,Solidaire & Citoyen,artisanat_cuisine,euros,2000.0,2570.0,53.0,67,0,15,7
102419,https://fr.ulule.com/mmi-journal/,MMI Journal,paris,Édition & Média,artisanat_cuisine,prevente,100.0,155.0,147.0,207,1,9,9
96794,https://fr.ulule.com/ajnalogie/,ajnalogie,Paris,Santé & Bien-être,artisanat_cuisine,prevente,150.0,171.0,112.0,135,1,31,2
102146,https://fr.ulule.com/owl-ride-skatepark/,Owl Ride SkatePark,Dijon,Sports,artisanat_cuisine,euros,5400.0,7030.0,103.0,133,1,12,2
105389,https://fr.ulule.com/nouvel-album-de-morice-benin-juste-lheure/,"""Juste l'heure"" - Morice Benin",Lyon,Musique,artisanat_cuisine,euros,2500.0,3621.0,90.0,82,1,9,1
100835,https://fr.ulule.com/mode-responsable-urbaine-coloree/,"Pour une mode responsable, urbaine et colorée",Saint-Ouen,Mode & Design,artisanat_cuisine,prevente,50.0,57.0,33.0,38,0,23,7
