id,url,titre,adresse,categorie,categorie_source,type_projet,montant_initial,montant_actuel,nombre_contributions,nombre_commentaires,nombre_videos,nombre_images,nombre_publications,logique_modele
142793,https://fr.ulule.com/soucramanien-parfum/,soucramanien parfum,paris,artisanat & cuisine,artisanat_cuisine,euros,596.0,597.0,6.0,9,0,29,0,financement_don
140657,https://fr.ulule.com/oenoline/,l'analyse du vin reservee a tous !,chatou,artisanat & cuisine,artisanat_cuisine,euros,2500.0,2852.0,49.0,79,1,17,17,financement_don
142401,https://fr.ulule.com/combe-sauvage/,combe sauvage / fleuriste eco-responsable,annecy,artisanat & cuisine,artisanat_cuisine,euros,2500.0,2980.0,50.0,88,0,17,8,financement_don
141431,https://fr.ulule.com/maquettecreme_moules_gateaux/,maquettecreme,bordeaux,artisanat & cuisine,artisanat_cuisine,euros,3000.0,3435.0,108.0,176,1,46,9,financement_don
137754,https://fr.ulule.com/aupassage/,au passage ca demenage,rodez,artisanat & cuisine,artisanat_cuisine,euros,3000.0,5108.0,83.0,132,0,9,0,financement_don
141839,https://fr.ulule.com/l-immortelle-coffee-shop/,l'immortelle coffee shop,montalivet,artisanat & cuisine,artisanat_cuisine,euros,7000.0,10501.0,128.0,215,1,18,7,financement_don
143097,https://fr.ulule.com/allez-bisous/,"un four pour l'atelier ""allez, bisous""",cabrerolles,artisanat & cuisine,artisanat_cuisine,euros,5000.0,5495.0,95.0,145,0,45,4,financement_don
142119,https://fr.ulule.com/bieres-troupes/,bieres troupes,paris,artisanat & cuisine,artisanat_cuisine,euros,2000.0,3803.0,47.0,76,1,25,5,financement_don
133617,https://fr.ulule.com/un-local-de-patisserie-pour-croc-moi/,croc&moi s'agrandit !,boursies,artisanat & cuisine,artisanat_cuisine,euros,3500.0,3600.0,64.0,58,0,16,3,financement_don
142496,https://fr.ulule.com/monsieurmacaronstempere/,acquisition d'une trempeuse a chocolat,conzieu,artisanat & cuisine,artisanat_cuisine,euros,1500.0,1683.0,37.0,28,0,8,6,financement_don
141176,https://fr.ulule.com/cafe-recreatif-culturel/,cafe recreatif et culturel,caen,artisanat & cuisine,artisanat_cuisine,euros,3000.0,3210.0,66.0,90,0,10,0,financement_don
127728,https://fr.ulule.com/le-morse/,le morse,nantes,artisanat & cuisine,artisanat_cuisine,euros,4000.0,4275.0,71.0,60,0,12,0,financement_don
141601,https://fr.ulule.com/la-bonne-bougie/,la bonne bougie,lyon,artisanat & cuisine,artisanat_cuisine,euros,1200.0,2560.0,63.0,83,0,18,4,financement_don
141271,https://fr.ulule.com/brassins-de-livre/,"brasserie ""les brassins de livre""",rennes,artisanat & cuisine,artisanat_cuisine,euros,2000.0,2000.0,20.0,17,1,8,6,financement_don
133257,https://fr.ulule.com/fluffy-panda/,fluffy panda,vendome,artisanat & cuisine,artisanat_cuisine,euros,4000.0,4415.0,65.0,49,0,15,0,financement_don
138447,https://fr.ulule.com/du-materiel-pour-des-instants-gourmands-/,du materiel pour des instants gourmands !,quimperle,artisanat & cuisine,artisanat_cuisine,euros,3000.0,3015.0,27.0,40,1,17,8,financement_don
140316,https://fr.ulule.com/joha-cafe-1/,joha cafe,lille,artisanat & cuisine,artisanat_cuisine,euros,6000.0,6030.0,161.0,139,1,21,5,financement_don
